task,phase,numberOfRequestsPerThread,threadId,requestId,start,end,duration
Post Latency Analysis,Phase 2,6,lab4.SkierClient@3c5a99da,0,2022-02-15 23:40:32.968,2022-02-15 23:40:33.261,293
Post Latency Analysis,Phase 2,6,lab4.SkierClient@3c5a99da,1,2022-02-15 23:40:33.268,2022-02-15 23:40:33.459,191
Post Latency Analysis,Phase 2,6,lab4.SkierClient@3c5a99da,2,2022-02-15 23:40:33.462,2022-02-15 23:40:33.635,173
Post Latency Analysis,Phase 2,6,lab4.SkierClient@3c5a99da,3,2022-02-15 23:40:33.64,2022-02-15 23:40:33.817,177
Post Latency Analysis,Phase 2,6,lab4.SkierClient@3c5a99da,4,2022-02-15 23:40:33.821,2022-02-15 23:40:33.986,165
Post Latency Analysis,Phase 2,6,lab4.SkierClient@3c5a99da,5,2022-02-15 23:40:33.989,2022-02-15 23:40:34.153,164
Post Latency Analysis,Phase 3,10,lab4.SkierClient@47f37ef1,0,2022-02-15 23:40:34.199,2022-02-15 23:40:34.392,193
Post Latency Analysis,Phase 3,10,lab4.SkierClient@47f37ef1,1,2022-02-15 23:40:34.4,2022-02-15 23:40:34.582,182
Post Latency Analysis,Phase 3,10,lab4.SkierClient@47f37ef1,2,2022-02-15 23:40:34.591,2022-02-15 23:40:34.756,165
Post Latency Analysis,Phase 3,10,lab4.SkierClient@47f37ef1,3,2022-02-15 23:40:34.759,2022-02-15 23:40:34.93,171
Post Latency Analysis,Phase 3,10,lab4.SkierClient@47f37ef1,4,2022-02-15 23:40:34.936,2022-02-15 23:40:35.1,164
Post Latency Analysis,Phase 3,10,lab4.SkierClient@47f37ef1,5,2022-02-15 23:40:35.105,2022-02-15 23:40:35.304,199
Post Latency Analysis,Phase 3,10,lab4.SkierClient@47f37ef1,6,2022-02-15 23:40:35.306,2022-02-15 23:40:35.485,179
Post Latency Analysis,Phase 3,10,lab4.SkierClient@47f37ef1,7,2022-02-15 23:40:35.489,2022-02-15 23:40:35.681,192
Post Latency Analysis,Phase 3,10,lab4.SkierClient@47f37ef1,8,2022-02-15 23:40:35.685,2022-02-15 23:40:35.877,192
Post Latency Analysis,Phase 3,10,lab4.SkierClient@47f37ef1,9,2022-02-15 23:40:35.879,2022-02-15 23:40:36.067,188
