thread_id,start,end,minutes_seconds,duration
406,18:02.2,07-02-2022 16:18:02.27,18:02.275,68
407,18:02.3,07-02-2022 16:18:02.34,18:02.343,68
408,18:02.3,07-02-2022 16:18:02.41,18:02.410,67
409,18:02.4,07-02-2022 16:18:02.48,18:02.476,66
410,18:02.5,07-02-2022 16:18:02.54,18:02.544,68
411,18:02.5,07-02-2022 16:18:02.61,18:02.611,67
412,18:02.6,07-02-2022 16:18:02.68,18:02.679,68
413,18:02.7,07-02-2022 16:18:02.75,18:02.745,66
414,18:02.7,07-02-2022 16:18:02.82,18:02.815,69
415,18:02.8,07-02-2022 16:18:02.89,18:02.885,70
416,18:02.9,07-02-2022 16:18:02.95,18:02.951,66
417,18:03.0,07-02-2022 16:18:03.02,18:03.018,67
418,18:03.0,07-02-2022 16:18:03.09,18:03.085,67
419,18:03.1,07-02-2022 16:18:03.15,18:03.152,67
420,18:03.2,07-02-2022 16:18:03.22,18:03.219,67
421,18:03.2,07-02-2022 16:18:03.29,18:03.286,67
422,18:03.3,07-02-2022 16:18:03.35,18:03.352,66
423,18:03.4,07-02-2022 16:18:03.42,18:03.420,68
424,18:03.4,07-02-2022 16:18:03.49,18:03.485,65
425,18:03.5,07-02-2022 16:18:03.55,18:03.553,68
426,18:03.6,07-02-2022 16:18:03.62,18:03.624,71
427,18:03.6,07-02-2022 16:18:03.69,18:03.694,70
428,18:03.7,07-02-2022 16:18:03.76,18:03.761,67
429,18:03.8,07-02-2022 16:18:03.83,18:03.827,66
430,18:03.8,07-02-2022 16:18:03.90,18:03.896,69
431,18:03.9,07-02-2022 16:18:03.96,18:03.963,67
432,18:04.0,07-02-2022 16:18:04.03,18:04.032,69
433,18:04.0,07-02-2022 16:18:04.11,18:04.105,73
434,18:04.1,07-02-2022 16:18:04.17,18:04.172,67
435,18:04.2,07-02-2022 16:18:04.24,18:04.239,67
436,18:04.2,07-02-2022 16:18:04.31,18:04.306,67
437,18:04.3,07-02-2022 16:18:04.38,18:04.381,75
438,18:04.4,07-02-2022 16:18:04.45,18:04.448,67
439,18:04.4,07-02-2022 16:18:04.51,18:04.515,67
440,18:04.5,07-02-2022 16:18:04.58,18:04.582,67
441,18:04.6,07-02-2022 16:18:04.65,18:04.649,67
442,18:04.6,07-02-2022 16:18:04.72,18:04.717,68
443,18:04.7,07-02-2022 16:18:04.78,18:04.783,66
444,18:04.8,07-02-2022 16:18:04.85,18:04.852,69
445,18:04.9,07-02-2022 16:18:04.92,18:04.917,65
446,18:04.9,07-02-2022 16:18:04.99,18:04.985,68
447,18:05.0,07-02-2022 16:18:05.05,18:05.051,66
448,18:05.1,07-02-2022 16:18:05.12,18:05.118,67
